6/17/17,12:29:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:30:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:31:17,8023.9975585938,W,3712.9291992188,N,572.90,0.00,,4.02
6/17/17,12:32:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:33:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:34:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:35:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:36:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:37:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:38:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:39:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:40:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:41:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:42:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:43:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:44:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:45:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:46:11,8023.9975585938,W,3712.9291992188,N,572.90,0.00,,4.02
6/17/17,12:47:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:48:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:49:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:50:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:51:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:52:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:53:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:54:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:55:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:56:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:57:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:58:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:59:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:0:45,, ,, ,0.00,0.00,,4.02
6/17/17,13:1:37,8023.9848632812,W,3712.9147949219,N,672.50,0.00,,4.03
6/17/17,13:2:0,, ,, ,0.00,0.00,,4.02
